RCID,PRIM,GRUP,OBJL,RVER,AGEN,FIDN,FIDS,LNAM,LNAM_REFS,FFPT_RIND,CATSLC,COLOUR,COLPAT,CONDTN,CONRAD,CONVIS,DATEND,DATSTA,HEIGHT,HORACC,HORCLR,HORLEN,HORWID,NATCON,NOBJNM,OBJNAM,STATUS,VERACC,VERDAT,VERLEN,WATLEV,INFORM,NINFOM,NTXTDS,SCAMAX,SCAMIN,TXTDSC,RECDAT,RECIND,SORDAT,SORIND
3281,2,2,122,1,550,175418800,1080,02260A74ADB00438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3282,2,2,122,1,550,175418814,1080,02260A74ADBE0438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3283,2,2,122,1,550,175418859,1080,02260A74ADEB0438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3284,2,2,122,1,550,175419000,1080,02260A74AE780438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3285,2,2,122,1,550,175419028,1080,02260A74AE940438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3286,2,2,122,1,550,175419058,1080,02260A74AEB20438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3287,2,2,122,1,550,175419073,1080,02260A74AEC10438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3288,2,2,122,1,550,175419088,1080,02260A74AED00438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3289,2,2,122,1,550,175419102,1080,02260A74AEDE0438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3290,2,2,122,1,550,175419117,1080,02260A74AEED0438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3291,2,2,122,1,550,175419132,1080,02260A74AEFC0438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3292,2,2,122,1,550,175419174,1080,02260A74AF260438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3293,2,2,122,1,550,175419189,1080,02260A74AF350438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3294,2,2,122,1,550,175419204,1080,02260A74AF440438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3295,2,2,122,1,550,175419235,1080,02260A74AF630438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3296,2,2,122,1,550,175419264,1080,02260A74AF800438,,,10,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3297,2,2,122,1,550,175420490,1080,02260A74B44A0438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3298,2,2,122,1,550,175420548,1080,02260A74B4840438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3299,2,2,122,1,550,175420563,1080,02260A74B4930438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3300,2,2,122,1,550,175420592,1080,02260A74B4B00438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3301,2,2,122,1,550,175420621,1080,02260A74B4CD0438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3302,2,2,122,1,550,175420637,1080,02260A74B4DD0438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3303,2,2,122,1,550,175420654,1080,02260A74B4EE0438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3304,2,2,122,1,550,175420670,1080,02260A74B4FE0438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3305,2,2,122,1,550,175420684,1080,02260A74B50C0438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3306,2,2,122,1,550,175420700,1080,02260A74B51C0438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3307,2,2,122,1,550,175420730,1080,02260A74B53A0438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3308,2,2,122,1,550,175420745,1080,02260A74B5490438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3309,2,2,122,1,550,175420760,1080,02260A74B5580438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3310,2,2,122,1,550,175420802,1080,02260A74B5820438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3311,2,2,122,1,550,175420817,1080,02260A74B5910438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3312,2,2,122,1,550,175421512,1080,02260A74B8480438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3313,2,2,122,1,550,175421597,1080,02260A74B89D0438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3314,2,2,122,1,550,175421656,1080,02260A74B8D80438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3315,2,2,122,1,550,175421671,1080,02260A74B8E70438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3316,2,2,122,1,550,175421685,1080,02260A74B8F50438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3317,2,2,122,1,550,175421700,1080,02260A74B9040438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
3318,2,2,122,1,550,175421715,1080,02260A74B9130438,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,500000,,,,19990529,"US,US,graph,chart 11322"
