RCID,PRIM,GRUP,OBJL,RVER,AGEN,FIDN,FIDS,LNAM,LNAM_REFS,FFPT_RIND,CATCOA,COLOUR,CONRAD,CONVIS,ELEVAT,NOBJNM,OBJNAM,VERACC,VERDAT,INFORM,NINFOM,NTXTDS,PICREP,SCAMAX,SCAMIN,TXTDSC,RECDAT,RECIND,SORDAT,SORIND
355,2,2,30,1,550,116163041,1247,022606EC81E104DF,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
356,2,2,30,1,550,116167270,1247,022606EC926604DF,,,8,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
357,2,2,30,1,550,116167261,1247,022606EC925D04DF,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
358,2,2,30,1,550,175416505,1080,02260A74A4B90438,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
359,2,2,30,1,550,175418452,1080,02260A74AC540438,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
360,2,2,30,1,550,175420890,1080,02260A74B5DA0438,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
361,2,2,30,1,550,175422374,1080,02260A74BBA60438,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
362,2,2,30,1,550,175422404,1080,02260A74BBC40438,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
363,2,2,30,1,550,175447806,1080,02260A751EFE0438,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
364,2,2,30,1,550,175447822,1080,02260A751F0E0438,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
365,2,2,30,1,550,175448385,1080,02260A7521410438,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
366,2,2,30,1,550,175448415,1080,02260A75215F0438,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
367,2,2,30,1,550,175414076,1080,02260A749B3C0438,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
