RCID,PRIM,GRUP,OBJL,RVER,AGEN,FIDN,FIDS,LNAM,LNAM_REFS,FFPT_RIND,DRVAL1,DRVAL2,QUASOU,SOUACC,VERDAT,INFORM,NINFOM,NTXTDS,SCAMAX,SCAMIN,TXTDSC,RECDAT,RECIND,SORDAT,SORIND
651,2,2,42,1,550,115117433,1287,022606DC8D790507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
652,2,2,42,1,550,115117436,1287,022606DC8D7C0507,,,0.91,2.59,,,,,,,,45000,,,,,"US,US"
653,2,2,42,1,550,115117439,1287,022606DC8D7F0507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
654,2,2,42,1,550,115117442,1287,022606DC8D820507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
655,2,2,42,1,550,115117446,1287,022606DC8D860507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
656,2,2,42,1,550,115117449,1287,022606DC8D890507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
657,2,2,42,1,550,115117452,1287,022606DC8D8C0507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
658,2,2,42,1,550,115117455,1287,022606DC8D8F0507,,,0.91,2.59,,,,,,,,45000,,,,,"US,US"
659,2,2,42,1,550,115117458,1287,022606DC8D920507,,,0.91,2.59,,,,,,,,45000,,,,,"US,US"
660,2,2,42,1,550,115117461,1287,022606DC8D950507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
661,2,2,42,1,550,115117464,1287,022606DC8D980507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
662,2,2,42,1,550,115117467,1287,022606DC8D9B0507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
663,2,2,42,1,550,115117470,1287,022606DC8D9E0507,,,0.91,2.59,,,,,,,,45000,,,,,"US,US"
664,2,2,42,1,550,115117473,1287,022606DC8DA10507,,,0.91,2.59,,,,,,,,45000,,,,,"US,US"
665,2,2,42,1,550,115117478,1287,022606DC8DA60507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
666,2,2,42,1,550,115117481,1287,022606DC8DA90507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
667,2,2,42,1,550,115117485,1287,022606DC8DAD0507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
668,2,2,42,1,550,115117488,1287,022606DC8DB00507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
669,2,2,42,1,550,115117491,1287,022606DC8DB30507,,,0.91,2.59,,,,,,,,45000,,,,,"US,US"
670,2,2,42,1,550,115117497,1287,022606DC8DB90507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
671,2,2,42,1,550,115117500,1287,022606DC8DBC0507,,,0.91,2.59,,,,,,,,45000,,,,,"US,US"
672,2,2,42,1,550,115117503,1287,022606DC8DBF0507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
673,2,2,42,1,550,115117506,1287,022606DC8DC20507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
674,2,2,42,1,550,115117509,1287,022606DC8DC50507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
675,2,2,42,1,550,115117512,1287,022606DC8DC80507,,,0.91,2.59,,,,,,,,45000,,,,,"US,US"
676,2,2,42,1,550,115117515,1287,022606DC8DCB0507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
677,2,2,42,1,550,115117518,1287,022606DC8DCE0507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
